time,Idm,Iqm,Te,Vd,Vq,We,Idref,Wheel_Speed,Velocity,wm
0,0,0,0,38.0669748319313,0.362909454475116,0.150328872852886,161.220346110533,0,0,0
0.001,125.108797328437,2.18413692717124,0.00085115326308312,11.9830000588195,0.68658259477982,0.449485763767068,161.220346110533,2.7347606044019e-07,5.71162750982913e-12,1.21696846895884e-06
0.002,157.12629485464,5.38012631028585,0.01241148430492,4.95497860628554,0.781099964535114,0.74875928466256,161.220346110533,1.36514444029301e-05,1.83063394076915e-09,6.07489275930388e-05
0.003,161.000661668182,8.57585572621045,0.0410273660050986,4.09513625412118,0.86221886686098,1.04851564818697,161.220346110533,8.12813935224409e-05,3.11934018956093e-08,0.000361702201174862
0.004,161.51620773123,11.7398284047515,0.0863677690945716,3.96961648945393,0.945228503422925,1.34914114021048,161.220346110533,0.000246566230182373,1.95552952060502e-07,0.00109721972431156
0.005,161.627439616353,14.8869363660534,0.14800805599119,3.93059028166566,1.02902220137479,1.65092555624474,161.220346110533,0.000542067247823763,7.47442300451794e-07,0.00241219925281575
0.006,161.683383304189,18.0237982323342,0.225794440127446,3.90176687593118,1.11275413803641,1.95404140165912,161.220346110533,0.000987167072221374,2.13176633037563e-06,0.00439289347138512
0.007,161.726121047047,21.1527248019794,0.319644469212738,3.87415659646223,1.19620832291434,2.25853327493905,161.220346110533,0.00158687676915247,5.01213768215982e-06,0.0070616016227285
0.008,161.761476659042,24.2748154113812,0.429493660550589,3.84669297773577,1.27934884476928,2.56431693046245,161.220346110533,0.00233173053838384,1.02743358935841e-05,0.0103762008958081
0.009,161.790897184288,27.3908122201798,0.555286834031378,3.81924275574557,1.36217432482353,2.87119074080387,161.220346110533,0.00319907361300971,1.90067549324281e-05,0.0142358775778932
0.01,161.815219078187,30.5012982043505,0.696976527648975,3.79178330743435,1.44468676874484,3.17885900454879,161.220346110533,0.00415568111499651,3.24598977082482e-05,0.0184927809617345
0.011,161.835123011649,33.6067550791007,0.854522529934368,3.76430599993952,1.52688710595427,3.48696481553175,161.220346110533,0.00516145122799803,5.19890864313223e-05,0.0229684579645913
0.012,161.851197601001,36.7075943120102,1.02789195556615,3.73680480412942,1.60877605421314,3.79512916260072,161.220346110533,0.0061737984293161,7.8986264230683e-05,0.0274734030104567
0.013,161.863956052884,39.804181374668,1.21705975867006,3.70927474720081,1.69035596582513,4.10299228659156,161.220346110533,0.0071523003409564,0.000114807875231555,0.031827736517256
0.014,161.87384637571,42.8968556803654,1.42200953378694,3.68171134479541,1.77163271985828,4.41025308749725,161.220346110533,0.0080631255014555,0.000160706212079761,0.035880908481477
0.015,161.88126004507,45.9859458384818,1.64273442300209,3.65411001423543,1.85261733388121,4.71670256893725,161.220346110533,0.0088827911714287,0.000217771269928439,0.0395284207128577
0.016,161.886539747961,49.0717797312519,1.87923794942703,3.62646541675232,1.93332709048945,5.02224791014001,161.220346110533,0.00960086805069912,0.000286889078770138,0.0427238628256111
0.017,161.889986287208,52.1546892775495,2.13153462167799,3.59877080147902,2.01378603214524,5.32692470716046,161.220346110533,0.010221355696004,0.000368720809365267,0.0454850328472176
0.018,161.891864637209,55.2350101864693,2.39965019491148,3.57101744254359,2.09402474056128,5.63089612852062,161.220346110533,0.0107625876491407,0.000463704831945065,0.0478935150386761
0.019,161.892409123518,58.3130774181109,2.68362152594305,3.54319425598795,2.17407938959561,5.93443906342907,161.220346110533,0.0112556750571405,0.000572081566668187,0.0500877540042753
0.02,161.891827706787,61.3892174099353,2.98349601693579,3.51528766555859,2.25399013769014,6.23791866725726,161.220346110533,0.0117416466134276,0.000693938639117725,0.052250327429753
0.021,161.89030537881,64.4637383602507,3.29933069757506,3.48728175856251,2.3337989992791,6.54175389352806,161.220346110533,0.0122675757475345,0.000829271780419684,0.0545907120765285
0.022,161.888006719422,67.5369199645871,3.63119104324137,3.45915873814406,2.4135473961858,6.84637752319136,161.220346110533,0.012882089532485,0.000978055301756037,0.0573252984195582
0.023,161.885077710994,70.6090039684861,3.97914966110028,3.43089964061344,2.49327363264823,7.1521947661287,161.220346110533,0.0136307171684514,0.00114031499172521,0.0606566913996085
0.024,161.881646954523,73.6801867380895,4.34328499347889,3.40248525045869,2.57301055591413,7.45954465880277,161.220346110533,0.0145515526400048,0.00131619603262426,0.0647544092480212
0.025,161.877826469881,76.7506147773024,4.72368018663018,3.37389711600689,2.65278365542599,7.76866820023833,161.220346110533,0.0156716744892542,0.00150601903442596,0.0697389514771813
0.026,161.873712285782,79.820383767195,5.12042225343164,3.3451185494181,2.73260981743012,8.07968648444786,161.220346110533,0.0170046887850165,0.00171031849222826,0.0756708650933235
0.027,161.86938502751,82.889541306942,5.53360162326541,3.31613548873107,2.8124968912694,8.39259107034219,161.220346110533,0.0185496470903073,0.00192985976176818,0.0825459295518677
0.028,161.864910690039,85.9580931364423,5.96331212561367,3.28693710850818,2.89244414426467,8.70724758340377,161.220346110533,0.0202914511447262,0.0021656328364076,0.0902969575940317
0.029,161.860341741668,89.0260122584406,6.40965140136544,3.25751608894316,2.97244359175465,9.02341219378045,161.220346110533,0.0222027043356746,0.00241882357507255,0.0988020342937521
0.03,161.855718642468,92.0932500873037,6.87272168366174,3.22786848902452,3.05248209678215,9.34075930050465,161.220346110533,0.0242468222847705,0.0026907653328305,0.107898359167229
0.031,161.851071789215,95.159748559243,7.3526308443808,3.19799321377443,3.13254404981232,9.65891760551571,161.220346110533,0.0263820861087955,0.00298287594906367,0.11740028318414
0.032,161.846423822573,98.2254520608736,7.84949356835235,3.16789111374455,3.21261437193158,9.97751090139436,161.220346110533,0.0285662253112004,0.00329658654747858,0.127119702634842
0.033,161.841792162335,101.290318073812,8.36343249896806,3.1375638011849,3.29268154285767,10.2961994115924,161.220346110533,0.0307610627517433,0.0036332694434066,0.136886729245258
0.034,161.837191581838,104.354325584842,8.8945791980812,3.10701230590341,3.37274034303649,10.6147174617664,161.220346110533,0.03293674738059,0.00399417254982604,0.146568525843625
0.035,161.832636600639,107.417480555467,9.44307478000221,3.07623571977044,3.45279401930573,10.9329036325023,161.220346110533,0.035075142184928,0.00438036701321884,0.15608438272293
0.036,161.828143470481,110.479818054004,10.0090701120197,3.0452299883622,3.53285563488761,11.2507203098434,161.220346110533,0.0371720208775033,0.00479271346031187,0.16541549290489
0.037,161.823731555118,113.541400994686,10.5927255184707,3.0139869994786,3.61294844229448,11.5682606325408,161.220346110533,0.0392378484865034,0.00523185033456245,0.17460842576494
0.038,161.819423957986,116.602315765759,11.1942099768799,2.98249409142906,3.69310521461013,11.8857421230567,161.220346110533,0.0412970657380436,0.00569820554162379,0.183771942534294
0.039,161.81524732734,119.662665328268,11.8136998472771,2.95073406144818,3.77336657683833,12.2034876510129,161.220346110533,0.0433859501176965,0.00619203023764302,0.193067478023749
0.04,161.811230858049,122.722560599442,12.4513772236083,2.91868570071468,3.85377848367303,12.521895673337,161.220346110533,0.0455492720667786,0.00671345132770545,0.202694260697165
0.041,161.807404601979,125.782111077579,13.1074280338973,2.8863248230432,3.93438908215648,12.8414027921259,161.220346110533,0.047836088000682,0.00726253732618596,0.212870591603035
0.042,161.803797283552,128.841415707235,13.7820400394112,2.85362569607745,4.01524526733771,13.1624424570806,161.220346110533,0.0502951001329779,0.00783937086197301,0.223813195591752
0.043,161.800433882761,131.900554922973,14.4754008901003,2.82056273351904,4.09638927846759,13.4854040341686,161.220346110533,0.052970057448792,0.00844412042897704,0.235716755647124
0.044,161.797333285728,134.959584656397,15.1876963834626,2.78711227067987,4.17785568767314,13.8105964258292,161.220346110533,0.0558956680873706,0.00907710405530673,0.248735722988799
0.045,161.794506306986,138.018532863362,15.9191090481025,2.75325422814973,4.25966910115879,14.1382199643191,161.220346110533,0.0590944412910344,0.00973883838538778,0.262970263745103
0.046,161.791954356001,141.077398851608,16.6698171346789,2.71897347237158,4.34184282723484,14.468349455861,161.220346110533,0.0625747822533629,0.0104300681546152,0.278457781027465
0.047,161.78966895524,144.136155393567,17.439994050097,2.68426070780341,4.42437867183696,14.800930114842,161.220346110533,0.0663305352874955,0.0111517730349588,0.295170882029355
0.048,161.787632224678,147.194753325303,18.2298082209115,2.64911278103914,4.50726790970506,15.1357868101839,161.220346110533,0.0703420227441935,0.0119051511390194,0.313022001211661
0.049,161.785818337857,150.253128088991,19.0394233244269,2.61353233834449,4.59049335922534,15.4726456844318,161.220346110533,0.0745784741229217,0.0126915808540462,0.331874209847002
0.05,161.784195839697,153.311207496521,19.8689987859997,2.5775268481938,4.6740323733928,15.8111659393079,161.220346110533,0.0790015974823381,0.0135125648926193,0.351557108796405
0.051,161.78273060969,156.368919891984,20.7186904127162,2.54110707194584,4.75786046057461,16.1509785395439,161.220346110533,0.0835699281855753,0.0143696622656704,0.37188618042581
0.052,161.781389168729,159.426201878504,21.5886510197849,2.5042851306794,4.84195517744412,16.4917278772771,161.220346110533,0.0882435102929867,0.0152644151185672,0.392683620803791
0.053,161.780141974605,162.483004848694,22.4790309078433,2.46707236679986,4.92629990071346,16.8331121358622,161.220346110533,0.0929884318219548,0.0161982778938803,0.413798521607699
0.054,161.778966337508,165.539299707499,23.3899780664306,2.42947722906584,5.01088708865417,17.1749182265825,161.220346110533,0.0977807502200576,0.0171725560401341,0.435124338479256
0.055,161.777848615838,168.595079383525,24.3216380089643,2.3915034150514,5.09572068827608,17.5170477309929,161.220346110533,0.102609407235014,0.0181883604987345,0.456611862195813
0.056,161.7767854222,171.650358966748,25.2741531841627,2.35314848434982,5.18081742553987,17.8595312078461,161.220346110533,0.107477836434561,0.0192465825731352,0.478276372133798
0.057,161.775783672807,174.705173560367,26.2476619534738,2.31440311057444,5.26620682629712,18.2025294208233,161.220346110533,0.112404101153657,0.0203478916837412,0.500198250133772
0.058,161.774859439568,177.759574166117,27.2422971687541,2.27525107481774,5.35192994375214,18.5463213875329,161.220346110533,0.117419551685378,0.0214927561566773,0.522517004999931
0.059,161.774035698818,180.813622111754,28.2581844243532,2.23567002448417,5.43803690111147,18.8912805024536,161.220346110533,0.122566142465548,0.0226814848279152,0.545419333971687
0.06,161.773339198534,183.867382658392,29.2954400887174,2.19563293778255,5.52458348198968,19.2378412073955,161.220346110533,0.127892687180671,0.0239142851100388,0.569122457953985
0.061,161.772796771924,186.920918482387,30.3541692395541,2.15511015484479,5.61162710315904,19.5864596476183,161.220346110533,0.133450438107136,0.0251913314856204,0.593854449576754
0.062,161.772431496816,189.974283708596,31.4344636318844,2.11407177034437,5.69922257349131,19.9375723619453,161.220346110533,0.139288444550934,0.0265128373298181,0.619833578251658
0.063,161.772259128117,193.027519083919,32.5363998198735,2.07249013724278,5.7874180718081,20.2915572496346,161.220346110533,0.145449167102857,0.0278791226321248,0.647248793607713
0.064,161.772285210634,196.080648734598,33.6600375326361,2.03034221240368,5.87625176118126,20.648700816473,161.220346110533,0.151964797424325,0.029290670615589,0.676243348538246
0.065,161.772503212896,199.133678765544,34.8054183739685,1.98761148501523,5.96574939877028,21.0091750525877,161.220346110533,0.158854660248758,0.0307481673966567,0.706903238106974
0.066,161.772893915706,202.186597756464,35.9725648798308,1.94428926768004,6.0559232037048,21.3730263012584,161.220346110533,0.166123962686234,0.032252520573091,0.739251633953743
0.067,161.773426153316,205.239379009946,37.161479929449,1.9003751941197,6.14677212001411,21.740177242818,161.220346110533,0.173764017133684,0.033804854793426,0.773249876244894
0.068,161.774058855031,208.291984231712,38.3721464702577,1.85587685031887,6.23828346953221,22.110441766796,161.220346110533,0.181753912302305,0.0354064847278319,0.808804909745258
0.069,161.77474418763,211.344368190312,39.6045274871849,1.81080855891365,6.33043584548938,22.4835511775344,161.220346110533,0.190063457668735,0.0370588681841352,0.84578238662587
